=== MULTI-TRACK DIAGNOSTIC ENGINE SWEEP ===

--- TRACK: Melbourne ---
Track Caught: 727/1100 (66.09%)

--- CAUGHT COMBINATIONS ---
✅ CAUGHT | Time: 31.0s | Sensor: Speed    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 31.0s | Sensor: Speed    | Fault: Drift        | Conf:  91.1%
✅ CAUGHT | Time: 31.0s | Sensor: Speed    | Fault: Noise        | Conf:  66.5%
✅ CAUGHT | Time: 31.0s | Sensor: RPM      | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 31.0s | Sensor: RPM      | Fault: Stuck Value  | Conf:  71.3%
✅ CAUGHT | Time: 31.0s | Sensor: RPM      | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 31.0s | Sensor: RPM      | Fault: Noise        | Conf:  93.4%
✅ CAUGHT | Time: 31.0s | Sensor: Throttle | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 31.0s | Sensor: Throttle | Fault: Drift        | Conf:  96.2%
✅ CAUGHT | Time: 31.0s | Sensor: Brake    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 31.0s | Sensor: Brake    | Fault: Noise        | Conf:  43.3%
✅ CAUGHT | Time: 31.0s | Sensor: nGear    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 31.0s | Sensor: nGear    | Fault: Stuck Value  | Conf:  50.3%
✅ CAUGHT | Time: 31.0s | Sensor: nGear    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 31.0s | Sensor: nGear    | Fault: Noise        | Conf:  76.4%
✅ CAUGHT | Time: 32.0s | Sensor: Speed    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 32.0s | Sensor: Speed    | Fault: Drift        | Conf:  96.0%
✅ CAUGHT | Time: 32.0s | Sensor: Speed    | Fault: Noise        | Conf:  71.6%
✅ CAUGHT | Time: 32.0s | Sensor: RPM      | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 32.0s | Sensor: RPM      | Fault: Stuck Value  | Conf:  58.5%
✅ CAUGHT | Time: 32.0s | Sensor: RPM      | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 32.0s | Sensor: RPM      | Fault: Noise        | Conf:  95.5%
✅ CAUGHT | Time: 32.0s | Sensor: Throttle | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 32.0s | Sensor: Throttle | Fault: Drift        | Conf:  95.0%
✅ CAUGHT | Time: 32.0s | Sensor: Brake    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 32.0s | Sensor: nGear    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 32.0s | Sensor: nGear    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 32.0s | Sensor: nGear    | Fault: Noise        | Conf:  82.8%
✅ CAUGHT | Time: 33.0s | Sensor: Speed    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 33.0s | Sensor: Speed    | Fault: Drift        | Conf:  95.6%
✅ CAUGHT | Time: 33.0s | Sensor: Speed    | Fault: Noise        | Conf:  55.8%
✅ CAUGHT | Time: 33.0s | Sensor: RPM      | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 33.0s | Sensor: RPM      | Fault: Stuck Value  | Conf:  58.2%
✅ CAUGHT | Time: 33.0s | Sensor: RPM      | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 33.0s | Sensor: RPM      | Fault: Noise        | Conf:  95.5%
✅ CAUGHT | Time: 33.0s | Sensor: Throttle | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 33.0s | Sensor: Throttle | Fault: Drift        | Conf:  93.9%
✅ CAUGHT | Time: 33.0s | Sensor: Brake    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 33.0s | Sensor: nGear    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 33.0s | Sensor: nGear    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 33.0s | Sensor: nGear    | Fault: Noise        | Conf:  79.8%
✅ CAUGHT | Time: 34.0s | Sensor: Speed    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 34.0s | Sensor: Speed    | Fault: Drift        | Conf:  95.2%
✅ CAUGHT | Time: 34.0s | Sensor: Speed    | Fault: Noise        | Conf:  41.0%
